trial,CV_AUC,max_depth,num_leaves,lr,subsample,colsample,bagging_freq,L2,L1,min_child,min_gain,max_bin,max_delta,min_hessian,boost_avg,extra_trees,time_s
221,0.9285,8,62,0.0744,0.8248,0.7091,10,0.9574,0.3313,11,0.0774,116,3.3208,0.3567,True,False,65.1
222,0.9265,8,63,0.0751,0.8299,0.7004,10,1.0416,0.4003,11,0.0974,110,3.5117,0.4894,True,False,52.7
223,0.9276,8,61,0.0896,0.8357,0.7206,10,0.8048,0.5903,13,0.0063,126,3.3737,0.2933,True,False,72.4
224,0.9297,8,63,0.0786,0.8192,0.7072,10,0.5192,0.1604,10,0.1444,121,3.664,0.2027,True,False,53.0
225,0.9277,8,63,0.0789,0.8241,0.6104,10,0.5154,0.1128,10,0.149,123,3.7033,0.2165,True,False,50.8
226,0.927,8,61,0.0798,0.8186,0.7049,10,1.3738,0.2146,9,0.1997,129,3.6464,0.25,True,False,50.4
227,0.9254,8,59,0.0815,0.8155,0.712,10,0.7768,0.0847,13,1.4771,120,3.2044,0.182,True,False,19.7
228,0.9257,8,63,0.0766,0.8527,0.6987,10,1.7021,0.245,14,0.0602,114,3.5483,0.329,True,False,56.4
229,0.9265,8,60,0.0858,0.8444,0.7162,10,0.5216,0.1642,10,0.1182,150,3.4773,0.2063,True,False,60.1
230,0.9269,8,34,0.0725,0.8223,0.725,9,1.1442,0.0759,12,0.0337,134,3.89,0.0349,True,False,73.2
231,0.9287,8,62,0.0746,0.8298,0.706,10,1.1731,0.3169,11,0.0881,116,3.3282,0.2714,True,False,55.1
232,0.9289,8,62,0.0775,0.8344,0.7102,10,1.1779,0.0141,10,0.1446,121,3.2999,0.2789,True,False,61.1
233,0.9214,4,61,0.074,0.8382,0.706,10,0.5098,0.0667,9,0.1632,117,3.333,0.4033,True,False,30.6
234,0.9279,8,62,0.0695,0.8332,0.6943,10,1.0389,0.003,10,0.1288,126,3.5589,0.3077,True,False,64.0
235,0.9293,8,61,0.0723,0.8399,0.688,10,1.2107,0.146,12,0.0019,110,3.446,0.1589,True,False,78.9
236,0.93,8,60,0.0711,0.8417,0.6891,10,0.5003,0.1265,14,0.0055,108,3.6796,0.1464,True,False,90.1
237,0.9285,8,60,0.0682,0.8426,0.687,10,0.8695,0.1526,14,0.0108,106,3.7057,0.2042,True,False,67.9
238,0.9276,8,59,0.0708,0.8507,0.678,10,1.3532,0.1711,16,0.03,111,3.6336,0.1435,True,False,68.2
239,0.9277,8,60,0.0671,0.8407,0.6867,10,1.8743,0.0044,14,0.0056,107,3.8038,0.1739,True,False,69.4
240,0.9289,8,61,0.0722,0.7295,0.6899,9,0.5406,0.2661,12,0.0563,112,3.4678,0.1444,True,False,62.8
241,0.9283,8,61,0.0726,0.7214,0.6899,9,0.5056,0.2532,12,0.0014,112,3.5272,0.145,True,False,78.3
242,0.9285,8,61,0.0722,0.7416,0.6848,10,0.503,0.1,13,0.0506,109,3.4762,0.1665,True,False,71.5
243,0.9278,8,61,0.0696,0.7312,0.6979,10,0.9393,0.0025,15,0.0508,120,3.6052,0.2296,True,False,61.6
244,0.9274,8,58,0.0786,0.7273,0.692,10,1.2648,0.1566,12,0.0016,113,3.463,0.1168,True,False,67.2
245,0.9275,8,59,0.0765,0.7565,0.6969,10,0.8817,0.2793,13,0.0685,105,3.6958,0.3391,True,False,58.8
246,0.9278,8,60,0.0821,0.8379,0.6824,10,1.1938,0.0999,15,0.5995,118,3.199,0.1498,True,False,28.9
247,0.9283,8,62,0.0725,0.8468,0.7021,9,0.8179,0.4398,14,0.0385,114,3.3965,0.1077,True,False,62.4
248,0.926,8,63,0.0769,0.8366,0.6666,10,0.5141,0.0075,12,0.118,120,3.558,0.2245,True,False,52.3
249,0.9269,8,61,0.0705,0.7137,0.6963,10,1.5184,0.1948,13,0.0727,110,3.0896,0.5506,True,False,60.6
250,0.9291,8,62,0.08,0.8251,0.6903,10,1.1146,0.2699,11,0.0005,140,3.2608,0.3054,True,False,88.9
251,0.9287,8,62,0.0819,0.822,0.6782,10,1.3543,0.3719,11,0.0418,143,3.2401,0.4147,True,False,74.2
252,0.9251,8,63,0.0856,0.8143,0.703,10,2.0871,0.2663,17,0.0031,137,3.9759,4.2833,True,False,55.7
253,0.9288,8,62,0.0792,0.825,0.7207,10,1.1133,0.5195,12,0.163,141,3.3102,0.3061,True,False,53.8
254,0.9274,8,60,0.0801,0.8281,0.7192,9,0.9104,0.6078,12,0.1192,139,3.06,0.285,True,False,53.8
255,0.9271,8,62,0.0827,0.8244,0.7387,10,0.5093,0.4051,11,0.001,141,3.3075,0.1841,True,False,81.0
256,0.9267,8,60,0.0783,0.8347,0.7286,10,1.2088,0.4814,12,0.1946,145,3.1675,0.3523,True,False,52.3
257,0.9273,8,59,0.0876,0.8425,0.7223,10,0.8832,0.3138,11,0.0886,153,3.7285,0.3103,True,False,63.1
258,0.9265,8,61,0.0955,0.8206,0.717,10,1.4613,0.5275,19,0.0416,134,2.9047,0.2393,True,False,56.5
259,0.9266,8,62,0.0841,0.7843,0.6874,10,1.1215,0.2132,15,0.1535,148,3.2658,0.4225,True,False,49.7
260,0.9271,8,44,0.0799,0.8318,0.7123,10,0.8223,0.3802,16,0.085,157,3.6249,0.2736,True,False,67.1
261,0.9289,8,61,0.067,0.8264,0.6909,10,1.6431,0.15,13,0.0473,130,3.358,0.3661,True,False,78.4
262,0.9241,8,61,0.066,0.8266,0.6906,10,1.7512,0.1688,13,1.7874,130,3.3864,0.3731,True,False,19.9
263,0.928,8,62,0.0676,0.8175,0.6825,9,0.5132,0.2218,13,0.0002,138,3.524,0.4764,True,False,81.3
264,0.9274,8,63,0.0694,0.8258,0.7332,10,1.5646,0.2941,12,0.1157,134,3.1495,0.3256,True,False,61.6
265,0.9282,8,60,0.0657,0.8198,0.7507,10,1.2203,0.1121,13,0.0625,104,3.3257,0.2017,True,False,64.6
266,0.927,8,61,0.078,0.8102,0.6953,10,0.7927,0.1005,14,0.209,131,3.2427,0.2591,True,False,50.3
267,0.9262,8,62,0.0732,0.8338,0.7019,10,1.535,0.3052,11,0.1457,127,3.4642,0.3144,True,False,54.0
268,0.9295,8,63,0.0635,0.8479,0.6758,10,0.5148,0.1863,15,0.0414,142,3.7823,0.1328,True,False,87.7
269,0.93,8,63,0.0617,0.8536,0.6856,10,0.5069,0.1375,16,0.0333,109,3.7038,0.1288,True,False,69.0
270,0.9271,8,63,0.0896,0.8533,0.6704,9,0.5081,0.2021,16,0.0365,102,3.7643,0.1361,True,False,52.0
271,0.9287,8,63,0.063,0.8464,0.6719,10,0.808,0.0082,17,0.0833,106,3.8909,0.1589,True,False,63.4
272,0.9304,8,62,0.0635,0.8529,0.6746,10,0.8928,0.001,16,0.0355,110,3.7896,0.1193,True,False,81.8
273,0.9266,8,63,0.0629,0.8494,0.6631,10,0.5358,0.1329,48,0.0017,110,3.8457,0.1254,True,False,48.9
274,0.9287,8,63,0.06,0.8549,0.677,10,0.8069,0.2603,15,0.0363,109,3.7933,0.1016,True,False,76.0
275,0.9288,8,62,0.0637,0.8586,0.6807,10,0.5345,0.1326,17,0.0753,113,3.6214,0.1206,True,False,61.4
276,0.9284,8,60,0.0616,0.8598,0.6758,10,0.9201,0.3431,18,0.0254,107,3.6918,0.1659,True,False,61.3
277,0.9292,8,61,0.0646,0.8543,0.6564,10,0.5111,0.0883,16,0.0971,113,3.9542,0.1371,True,False,62.2
278,0.927,8,63,0.0603,0.8654,0.6355,10,1.1174,0.0013,16,0.0005,102,3.9716,0.0962,True,False,67.0
279,0.9284,8,61,0.0619,0.8538,0.6612,10,0.8783,0.0864,16,0.0973,145,3.842,0.1286,True,False,78.3
280,0.9263,8,17,0.0667,0.8485,0.6568,10,1.2937,0.1779,15,0.1055,117,3.7684,0.1817,True,False,56.8
281,0.9295,8,62,0.0643,0.8566,0.6669,10,0.8952,0.0838,18,0.0391,115,3.8934,0.0982,True,False,78.4
282,0.9285,8,63,0.0633,0.8604,0.6569,10,0.8592,0.0974,20,0.0685,114,4.0281,0.0991,True,False,66.6
283,0.9253,5,62,0.0645,0.8695,0.6729,10,0.5024,0.0039,17,0.1089,106,3.9408,0.1291,True,False,34.4
284,0.9263,8,59,0.0639,0.8535,0.6717,10,14.0589,0.2128,19,0.0378,109,3.8246,0.0921,True,False,70.4
285,0.9265,8,62,0.0604,0.8541,0.6639,10,1.3968,0.1474,17,0.0685,115,3.6786,0.1128,True,False,64.8
286,0.9277,8,63,0.0656,0.8437,0.6522,10,0.9093,0.0047,18,0.1072,111,3.7513,0.1515,True,False,58.9
287,0.929,8,60,0.0645,0.8473,0.6836,10,0.8673,0.2181,16,0.048,116,4.0519,0.2126,True,False,72.5
288,0.9292,8,59,0.0652,0.846,0.6666,10,1.9402,0.3971,16,0.0461,137,4.0926,0.2075,True,False,81.6
289,0.9278,8,59,0.0615,0.8628,0.6686,10,2.6273,0.3998,18,0.0351,137,4.1675,0.1932,True,False,74.1
290,0.9259,8,59,0.0653,0.857,0.6495,10,2.1123,0.367,16,0.0351,140,3.9841,0.1543,True,False,66.6
291,0.9264,8,41,0.0996,0.8436,0.6663,10,1.9213,0.4581,15,0.128,134,3.9155,0.1772,True,False,46.7
292,0.9271,8,28,0.0676,0.849,0.6616,10,1.4155,0.2881,18,0.0805,147,3.8712,0.2288,True,False,70.3
293,0.9289,8,46,0.062,0.8412,0.678,10,0.5051,0.1688,15,0.0013,142,3.6931,0.1227,True,False,88.0
294,0.9293,8,60,0.0688,0.856,0.6523,10,1.7808,0.259,17,0.0697,136,4.0421,0.2235,True,False,74.8
295,0.9292,8,58,0.0595,0.8603,0.6471,10,1.7347,0.1012,17,0.0001,135,4.1702,0.2006,True,False,99.1
296,0.9263,8,59,0.0578,0.8702,0.6547,10,1.9774,0.376,17,0.8699,133,4.1026,0.1618,True,False,29.7
297,0.9295,8,57,0.0586,0.8603,0.6532,10,1.7436,0.3044,19,0.0708,127,4.198,0.2123,True,False,77.2
298,0.9284,8,58,0.0555,0.8639,0.6414,10,2.4849,0.6702,18,0.0558,126,4.2131,0.2,True,False,73.8
299,0.9274,8,56,0.0588,0.8601,0.6438,10,2.364,0.4724,19,0.0349,130,4.0587,0.2307,True,False,73.9
